date,volume,open,high,low,close,price_difference,ma10,ma30,rsi,macd,macdsignal,macdhist,snownlp,bert
2018/1/2,18055269,231.5,232.5,231,232.5,3,226.95,230.5666667,55.63715403,-1.349964405,-2.103346878,0.753382473,0.856003346,-1
2018/1/10,25716220,241.5,242,236,236.5,-5.5,235,230.3833333,55.91723944,2.147261986,0.53508236,1.612179626,0.06460676,-1
2018/1/18,50119952,245,250,245,248.5,6.5,240.35,232.4166667,70.57529664,3.246930441,2.010839329,1.236091113,0.797685494,-1
2018/1/19,55061292,253.5,255.5,251.5,255.5,7,241.9,233.3833333,76.07709061,4.295089434,2.46768935,1.827400084,0.252069859,-1
2018/1/22,45907509,257.5,262,257,261.5,6,243.85,234.5333333,79.59833201,5.545982213,3.083347923,2.46263429,0.033804358,-1
2018/1/23,34606444,262.5,266,262.5,266,4.5,246.25,235.8166667,81.76607556,6.821798695,3.831038077,2.990760618,0.010049375,-1
2018/1/24,42600813,263,263,256.5,258,-8,248.4,236.8333333,67.94446992,7.105452079,4.485920877,2.619531202,0.739860341,-1
2018/2/1,30900457,257.5,261,257,259.5,4.5,258,242.6666667,64.0678714,6.325440425,6.061800333,0.263640092,0.050606601,-1
2018/2/2,25707560,259,260,255,259.5,0,258.4,243.8166667,64.0678714,6.293405708,6.108121408,0.1852843,0.656210879,-1
2018/2/6,104448048,242.5,243.5,234,239,-14,254.85,245.0166667,41.64332669,4.014451208,5.620578989,-1.606127781,0.661199174,-1
2018/2/9,65939265,230,233,228.5,232.5,-6,248.85,246.15,36.88163491,0.205290376,3.526099524,-3.320809149,0.017826632,-1
2018/2/12,42917236,235.5,237.5,235,236.5,4,246.65,246.3833333,41.53778913,-0.57036868,2.706805883,-3.277174564,0.094944557,-1
2018/2/26,36165810,247,247.5,245,246.5,1.5,241.3,247.2,51.84264902,-0.545649394,0.665755577,-1.211404971,0.996207487,-1
2018/3/2,35289170,240,241,238.5,240,-3,241,247.4833333,45.35798343,-0.752426007,0.072663294,-0.825089301,0.121197491,1
