標題,日期,sentiments
[新聞] 台積獲急單 新年好兆頭,2018/1/02,0.8560033463569399
[新聞] 台積電上季、去年營收齊寫新猷,2018/1/10,0.06460675993520071
Fw: [新聞] 【台積電有多強？】路透全球科技前百強,2018/1/18,0.9882931715053803
[新聞] 台積電第4季 EPS 3.83元 去年EPS 13.23元,2018/1/18,0.6264003204412124
[新聞] 台積電3平台驅動 今年營收看增15%,2018/1/18,0.9714866637895452
[新聞] 台積電：今年配發現金股利將超過7元,2018/1/18,0.6045618190857311
[新聞] 台積法說報喜 外資紛紛上修台積目標價,2018/1/19,0.08344130944072192
[新聞] 讓11000從天花板變地板 台積電、鴻海雙箭,2018/1/19,0.030648639230173358
[新聞] 別管比特幣了 台積電的現金股利卡實在,2018/1/19,0.6421196304604192
[新聞] 台積電領軍　20檔市值同創高,2018/1/20,0.5379857037428696
[新聞] 兩個北京小夥子 為台積帶來大生意,2018/1/20,0.3471717736163694
[新聞] 兩個北京年輕人的「比特大陸夢」　替台積電帶來10萬片訂,2018/1/22,0.03380435774057178
[新聞] 台積電害的？他說：「台灣50」恐成高風險,2018/1/23,0.010049375359073243
[新聞] 外資大買台積電張忠謀讚:有眼光,2018/1/24,0.7398603414615743
[新聞] 買台積電躺著賺？投資達人驚爆「龍頭股危,2018/2/01,0.05060660098183223
[新聞] 創意今年成長超越台積，比特幣保守,2018/2/02,0.6562108792577845
[新聞] iPhone晶片傳轉單 衝擊台積,2018/2/06,0.6611991735316969
[新聞] Q1淡季 台積電1月營收跌回797億元 近半年,2018/2/09,0.006586047498824743
[新聞] 台積電本周市值大縮水...能不能低接 法人,2018/2/09,0.029067216566832643
[新聞] 台積電股息可望再創新高！周二將公布至少,2018/2/11,0.030199426040144917
[新聞] 台積配股息 上看8.5元,2018/2/12,0.09494455682644665
[新聞] MSCI調整台股權重2降1升 台積電權重遭降,2018/2/13,0.0006338612437677416
[新聞] 已羨慕！台積員工每人平均分紅107萬元,2018/2/13,0.3152169219272998
Fw: [新聞] 這公司靠比特幣1年吸金逾千億　將成台積7,2018/2/25,0.06435215556528773
[新聞] 高通與三星合作5G晶片　外資這樣看台積電,2018/2/25,0.0030989850585476653
[新聞] 台積強攻3奈米-千億蓋研發中心,2018/2/26,0.9962074874295374
[新聞] 缺水被韓國笑！台積電自備300輛水車、馬,2018/3/02,0.12119749076631692
[新聞] 舊聞 台積聯電喊沒差：半導體早就零關稅,2018/3/03,0.0530550082982012
[新聞] 台大校園徵才 台積電、鴻海等242家廠商釋出逾2萬職缺,2018/3/04,0.24921225771712396
